Model,Accel,Trials,batchsize,50th_pct,90th_pct,avg_latency(ms),Min,Max,Accuracy,Normalized_Accuracy
densenet121,onnxruntime_cpu,100,1,79.1618824005127,82.75628089904785,79.76548433303833,78.31406593322754,84.70797538757324,74.97,96.48648648648648
densenet121,onnxruntime_cpu,100,2,156.43072128295898,160.64214706420898,157.20935821533203,154.87217903137207,168.29490661621094,74.97,96.48648648648648
densenet121,onnxruntime_cpu,100,4,318.0832862854004,323.43006134033203,318.52173805236816,312.35694885253906,334.2249393463135,74.97,96.48648648648648
densenet121,onnxruntime_cpu,100,8,641.7300701141357,649.6520042419434,642.4264121055603,631.6757202148438,665.0941371917725,74.97,96.48648648648648
densenet121,onnxruntime_cpu,100,16,1291.7208671569824,1301.9609451293945,1293.3532691001892,1282.329797744751,1354.5689582824707,74.97,96.48648648648648
densenet161,onnxruntime_cpu,100,1,200.78182220458984,201.93910598754883,201.08760118484497,199.66411590576172,208.57787132263184,77.7,100.0
densenet161,onnxruntime_cpu,100,2,397.8891372680664,398.72097969055176,398.24533700942993,396.27790451049805,409.7599983215332,77.7,100.0
densenet161,onnxruntime_cpu,100,4,796.889066696167,801.3551235198975,797.666220664978,794.9509620666504,809.8771572113037,77.7,100.0
densenet161,onnxruntime_cpu,100,8,1602.6899814605713,1611.548900604248,1603.409628868103,1587.6100063323975,1646.0862159729004,77.7,100.0
densenet161,onnxruntime_cpu,100,16,3179.2218685150146,3213.8359546661377,3186.7829608917236,3156.3642024993896,3262.4104022979736,77.7,100.0
densenet169,onnxruntime_cpu,100,1,94.51580047607422,95.29900550842285,94.85167980194092,94.27499771118164,102.2040843963623,76.17,98.03088803088804
densenet169,onnxruntime_cpu,100,2,186.51318550109863,189.18800354003906,187.48839378356934,186.0508918762207,198.35901260375977,76.17,98.03088803088804
densenet169,onnxruntime_cpu,100,4,374.12405014038086,377.09498405456543,374.763081073761,372.5719451904297,385.0717544555664,76.17,98.03088803088804
densenet169,onnxruntime_cpu,100,8,757.7371597290039,765.1770114898682,759.1661262512207,753.8528442382812,779.3958187103271,76.17,98.03088803088804
densenet169,onnxruntime_cpu,100,16,1534.2590808868408,1535.9632968902588,1533.4006595611572,1525.1116752624512,1551.3968467712402,76.17,98.03088803088804
densenet201,onnxruntime_cpu,100,1,120.82099914550781,121.61612510681152,121.03116989135742,120.35989761352539,125.40507316589355,77.32,99.5109395109395
densenet201,onnxruntime_cpu,100,2,239.84789848327637,244.76194381713867,241.13369703292847,237.89620399475098,254.64510917663574,77.32,99.5109395109395
densenet201,onnxruntime_cpu,100,4,483.8399887084961,494.69900131225586,485.8229994773865,477.66590118408203,514.1198635101318,77.32,99.5109395109395
densenet201,onnxruntime_cpu,100,8,965.8749103546143,975.9049415588379,967.4698495864868,962.1930122375488,987.0491027832031,77.32,99.5109395109395
densenet201,onnxruntime_cpu,100,16,1925.6999492645264,1941.7810440063477,1928.2230424880981,1910.3660583496094,1964.3278121948242,77.32,99.5109395109395
efficientnet-b0,onnxruntime_cpu,100,1,26.496171951293945,27.070045471191406,26.59651756286621,26.098966598510742,28.384923934936523,77.1,91.45907473309607
